goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkPerft-8             	       1	8638001100 ns/op	2098574704 B/op	15880345 allocs/op
BenchmarkPerft-8             	       1	8802002600 ns/op	2098575856 B/op	15880357 allocs/op
BenchmarkPerft-8             	       1	8705100600 ns/op	2098574896 B/op	15880347 allocs/op
BenchmarkPerft-8             	       1	9819995700 ns/op	2098575472 B/op	15880353 allocs/op
BenchmarkPerft-8             	       1	8804004300 ns/op	2098573360 B/op	15880331 allocs/op
BenchmarkPerft-8             	       1	8792031200 ns/op	2098575280 B/op	15880351 allocs/op
BenchmarkPerft-8             	       1	8811966400 ns/op	2098575760 B/op	15880356 allocs/op
BenchmarkPerft-8             	       1	8646998000 ns/op	2098574800 B/op	15880346 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	398.408s
