goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkPerft-8                  	       1	7518000500 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                  	       1	7214000000 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                  	       1	7281000300 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                  	       1	7344201200 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7303018500 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                  	       1	7541998700 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7308026400 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7376037800 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                  	       1	7233165500 ns/op	75195568 B/op	   73441 allocs/op
BenchmarkPerft-8                  	       1	7293966700 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                  	       1	7491033700 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7370236500 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7231034300 ns/op	75195184 B/op	   73437 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	367.053s
